country,code,continent,life_sat,good_day,typical_day,bad_day,happy_eb,happy_wvs,pop,gdp_cap,hdi,life_sat_sd,pos_affect,neg_affect,log_gdp,hlife_exp,gini,social,freedom,generosity,corruption_percep,gov_conf
Comoros,COM,Africa,3.955640316,,,,,,792913,1411.1523385435,0.503,1.3854498863220215,0.6122413277626038,0.2118438184261322,7.2113800048828125,53.49835205078125,,0.7192178964614868,0.5340409278869629,-0.06235901266336441,0.6510092616081238,0.4648626446723938
Congo,COG,Africa,4.119493484,,,,,,4324199,5301.39727121401,0.591,,,,,,,,,,,
Cook Islands,COK,Oceania,,,,,,,20635,,,,,,,,,,,,,
Costa Rica,CRI,North America,7.135617733,,,,,,4859957,15401.4925046929,0.766,2.1436471939086914,0.8735843896865845,0.28142228722572327,9.609200477600098,69.661773681640625,0.4918,0.9007012844085693,0.8729719519615173,-0.03102230466902256,0.7805620431900024,0.2790275812149048
Cote d'Ivoire,CIV,Africa,4.542545795,,,,,,21057316,3448.14401279157,0.462,,,,,,,,,,,
Croatia,HRV,Europe,5.205438137,,,,70.965515,69.397995,4378806,21408.5515144884,0.818,1.7850501537322998,0.608886182308197,0.29401934146881104,9.9247589111328125,67.59174346923828,0.31980000000000003,0.7683634161949158,0.6935230493545532,-0.10031608492136002,0.8485455513000488,0.3648684024810791
Cuba,CUB,North America,5.417868614,,,,,,11244424,,0.769,2.1301300525665283,0.6467117667198181,0.27660152316093445,9.676424980163574,66.326568603515625,,0.9695951342582703,0.28145793080329895,,,0.5131755471229553
Curacao,CUW,North America,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Europe,5.794618607,,,,80.540237,82.082077,1141453,31195.5062211717,0.85,2.42055082321167,0.7420493960380554,0.3363446891307831,10.323122024536133,72.641937255859375,0.3431,0.7864384651184082,0.7562209963798523,-0.03673432022333145,0.8976395130157471,0.3339095115661621
Czech Republic,CZE,Europe,6.735627174,,,,86.118401,83.524231,10589806,31071.7483716268,0.87,1.6821707487106323,0.7557019591331482,0.20104163885116577,10.323363304138184,69.42073059082031,0.2613,0.9305928945541382,0.850328266620636,-0.20311008393764496,0.9004307389259338,0.4151207208633423
Czechoslovakia,OWID_CZS,Europe,,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo,COD,Africa,4.521935463,,,,,,71419669,742.307904931538,0.433,,,,,,,,,,,
Denmark,DNK,Europe,7.55778265,,,,97.266937,,5611187,45686.48453149,0.923,1.6114698648452759,0.8361157178878784,0.20758342742919922,10.683101654052734,70.9155502319336,0.2908,0.9544515013694763,0.9482305645942688,0.13132686913013458,0.2098933756351471,0.46766069531440735
Djibouti,DJI,Africa,4.369193554,,,,,,940090,3139.27353522704,0.47,2.378350019454956,0.5793028473854065,0.1805926263332367,7.9312744140625,51.87260818481445,,0.6329732537269592,0.7464394569396973,-0.0632062628865242,0.5189301371574402,0.6784912347793579
Dominica,DMA,North America,,,,,,,67702,10174.0385413709,0.724,,,,,,,,,,,
Dominican Republic,DOM,North America,5.238698483,,,,,72.422066,10308609,14098.875869833,0.715,3.112091541290283,0.7599455714225769,0.2780951261520386,9.538721084594727,63.30880355834961,0.4707,0.8947534561157227,0.8727124333381653,-0.08315159380435944,0.7371829748153687,0.5494248270988464
East Germany,OWID_GDR,Europe,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,South America,6.115437508,,,,,93.01165,15061398,10462.4413268594,0.732,2.4262428283691406,0.8463540077209473,0.36524659395217896,9.22300910949707,67.1619873046875,0.4729,0.8423520922660828,0.846336305141449,-0.017420640215277672,0.7740841507911682,0.4744277894496918
Egypt,EGY,Africa,4.556740761,,,,,29.678267,85378440,10319.256927452,0.69,2.0551702976226807,0.6113696694374084,0.3704982101917267,9.24643611907959,61.44123077392578,0.3075,0.8092185854911804,0.6558452248573303,-0.15030179917812347,0.8175274133682251,0.6191309094429016
El Salvador,SLV,North America,6.139824867,,,,,92.02552,6302723,7989.99725603083,0.666,2.59812593460083,0.76125568151474,0.34573647379875183,9.017533302307129,64.10896301269531,0.4351,0.7936599850654602,0.7998470067977905,-0.1944306492805481,0.7973120212554932,0.25170478224754333
Equatorial Guinea,GNQ,Africa,,,,,,,761050,23671.400471362,0.587,,,,,,,,,,,
Eritrea,ERI,Africa,,,,,,,5748304,1510.45892910899,0.391,,,,,,,,,,,
Eritrea and Ethiopia,OWID_ERE,Africa,,,,,,,,,,,,,,,,,,,,
Estonia,EST,Europe,5.649675369,,,,80.254471,75.440887,1338832,27735.1385141946,0.861,1.7530863285064697,0.7262548804283142,0.1768692582845688,10.220248222351074,67.37776184082031,0.33149999999999996,0.9377151131629944,0.8427706956863403,-0.15685899555683136,0.6390852928161621,0.3398343026638031
Ethiopia,ETH,Africa,4.297848701,,,,,63.678932,88356373,1608.29347611692,0.442,1.8089821338653564,0.7270708680152893,0.25394052267074585,7.377803802490234,56.04902267456055,,0.7187187075614929,0.7443076968193054,0.052286725491285324,0.702880859375,0.7489455938339233
Faeroe Islands,FRO,Europe,,,,,,,49326,,,,,,,,,,,,,
Falkland Islands,FLK,South America,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,Oceania,,,,,,,882863,8862.74044256887,0.727,,,,,,,,,,,
Finland,FIN,Europe,7.659843445,,,,94.704308,91.715973,5418763,39422.6469804678,0.883,1.4790186882019043,0.797325074672699,0.18199844658374786,10.56876277923584,71.3826904296875,0.2712,0.9539404511451721,0.9483721852302551,-0.03587467595934868,0.24965956807136536,0.4857272505760193
France,FRA,Europe,6.475208759,23,70,6,84.065941,89.61039,63782963,38058.8730455565,0.888,1.8015296459197998,0.7726613283157349,0.2700362503528595,10.536247253417969,72.597503662109375,0.331,0.8849229216575623,0.7867804765701294,-0.1013936847448349,0.6226970553398132,0.2839781641960144
French Guiana,GUF,South America,,,,,,,249408,,,,,,,,,,,,,
French Polynesia,PYF,Oceania,,,,,,,279632,,,,,,,,,,,,,
French Southern Territories,ATF,Antarctica,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Africa,4.831764221,,,,,,1594205,16785.998014362,0.684,2.214463710784912,0.6401165723800659,0.43240466713905334,9.860257148742676,56.11114501953125,,0.7800489664077759,0.6989423632621765,-0.23598408699035645,0.8165635466575623,0.37806975841522217
Gambia,GMB,Africa,,,,,,,1874360,1565.79670481901,0.441,,,,,,,,,,,
Georgia,GEO,Asia,4.448386192,,,,,69.550743,4278410,9267.29900374312,0.754,1.960208535194397,0.5638960003852844,0.223224475979805,9.159031867980957,65.85913848876953,0.4003,0.5334122776985168,0.6064683794975281,-0.23810091614723206,0.5609240531921387,0.34454113245010376
Germany,DEU,Europe,6.873763084,23,70,7,90.324211,86.134247,81804228,44072.3921575134,0.916,1.7759060859680176,0.7377459406852722,0.18725493550300598,10.704168319702148,70.86317443847656,0.3013,0.9060292840003967,0.8705150485038757,0.13694797456264496,0.4459221363067627,0.5526135563850403
Ghana,GHA,Africa,4.514411449,60,18,22,,82.538658,26131336,3980.2021060737,0.579,2.7370426654815674,0.6682639122009277,0.30490970611572266,8.310908317565918,53.69581985473633,,0.6473031640052795,0.7511683702468872,0.0952652245759964,0.8939552307128906,0.5166046023368835
Gibraltar,GIB,Europe,,,,,,,29309,,,,,,,,,,,,,
Greece,GRC,Europe,5.302619457,20,76,5,37.958538,,11445691,24263.8781263765,0.865,2.31729793548584,0.7005043625831604,0.3362075090408325,10.11512279510498,71.25013732910156,0.3668,0.8026058673858643,0.4816168546676636,-0.26776745915412903,0.8984708189964294,0.13248655200004578
Greenland,GRL,North America,,,,,,,57300,,,,,,,,,,,,,
Grenada,GRD,North America,,,,,,,105719,12910.9905542247,0.75,,,,,,,,,,,
Guadeloupe,GLP,North America,,,,,,,467335,,,,,,,,,,,,,
Guam,GUM,Oceania,,,,,,,186562,,,,,,,,,,,,,
Guatemala,GTM,North America,6.358916283,,,,,78.699997,15527502,7366.76847952713,0.627,2.6994218826293945,0.8461225032806396,0.32135719060897827,8.903938293457031,62.16745376586914,0.5235,0.8112354874610901,0.8626757264137268,0.009946200996637344,0.812030017375946,0.4689621925354004
Guernsey,GGY,Europe,,,,,,,65726,,,,,,,,,,,,,
